date,city,tourist_footfall
2018-01-01,Jaipur,4895
2018-01-02,Jaipur,4041
2018-01-03,Jaipur,4745
2018-01-04,Jaipur,4150
2018-01-05,Jaipur,4441
2018-01-06,Jaipur,4964
2018-01-07,Jaipur,5101
2018-01-08,Jaipur,3994
2018-01-09,Jaipur,4045
2018-01-10,Jaipur,8005
2018-01-11,Jaipur,7976
2018-01-12,Jaipur,8545
2018-01-13,Jaipur,8731
2018-01-14,Jaipur,9092
2018-01-15,Jaipur,8463
2018-01-16,Jaipur,8794
2018-01-17,Jaipur,8334
2018-01-18,Jaipur,7209
2018-01-19,Jaipur,9263
2018-01-20,Jaipur,8600
2018-01-21,Jaipur,5701
2018-01-22,Jaipur,3632
2018-01-23,Jaipur,4523
2018-01-24,Jaipur,4120
2018-01-25,Jaipur,5238
2018-01-26,Jaipur,5035
2018-01-27,Jaipur,5722
2018-01-28,Jaipur,6100
2018-01-29,Jaipur,4859
2018-01-30,Jaipur,3980
2018-01-31,Jaipur,4382
2018-02-01,Jaipur,4008
2018-02-02,Jaipur,4509
2018-02-03,Jaipur,6146
2018-02-04,Jaipur,5106
2018-02-05,Jaipur,4567
2018-02-06,Jaipur,4267
2018-02-07,Jaipur,4352
2018-02-08,Jaipur,4755
2018-02-09,Jaipur,4191
2018-02-10,Jaipur,6115
2018-02-11,Jaipur,4756
2018-02-12,Jaipur,4454
2018-02-13,Jaipur,5067
2018-02-14,Jaipur,4723
2018-02-15,Jaipur,3902
2018-02-16,Jaipur,3985
2018-02-17,Jaipur,5213
2018-02-18,Jaipur,5442
2018-02-19,Jaipur,4373
2018-02-20,Jaipur,4870
2018-02-21,Jaipur,4706
2018-02-22,Jaipur,4167
2018-02-23,Jaipur,4008
2018-02-24,Jaipur,5988
2018-02-25,Jaipur,5231
2018-02-26,Jaipur,5181
2018-02-27,Jaipur,4373
2018-02-28,Jaipur,4848
2018-03-01,Jaipur,4605
2018-03-02,Jaipur,5136
2018-03-03,Jaipur,4879
2018-03-04,Jaipur,5537
2018-03-05,Jaipur,4598
2018-03-06,Jaipur,4514
2018-03-07,Jaipur,4614
2018-03-08,Jaipur,3973
2018-03-09,Jaipur,4725
2018-03-10,Jaipur,10619
2018-03-11,Jaipur,10951
2018-03-12,Jaipur,8471
2018-03-13,Jaipur,8973
2018-03-14,Jaipur,9203
2018-03-15,Jaipur,8535
2018-03-16,Jaipur,7207
2018-03-17,Jaipur,8813
2018-03-18,Jaipur,5001
2018-03-19,Jaipur,4658
2018-03-20,Jaipur,5020
2018-03-21,Jaipur,5220
2018-03-22,Jaipur,4661
2018-03-23,Jaipur,4928
2018-03-24,Jaipur,5199
2018-03-25,Jaipur,5119
2018-03-26,Jaipur,4174
2018-03-27,Jaipur,4733
2018-03-28,Jaipur,3835
2018-03-29,Jaipur,4327
2018-03-30,Jaipur,4935
2018-03-31,Jaipur,5308
2018-04-01,Jaipur,2110
2018-04-02,Jaipur,1322
2018-04-03,Jaipur,1421
2018-04-04,Jaipur,1559
2018-04-05,Jaipur,1543
2018-04-06,Jaipur,1780
2018-04-07,Jaipur,1963
2018-04-08,Jaipur,1859
2018-04-09,Jaipur,1536
2018-04-10,Jaipur,1682
2018-04-11,Jaipur,1681
2018-04-12,Jaipur,1835
2018-04-13,Jaipur,1383
2018-04-14,Jaipur,2008
2018-04-15,Jaipur,1809
2018-04-16,Jaipur,1147
2018-04-17,Jaipur,1577
2018-04-18,Jaipur,1576
2018-04-19,Jaipur,1290
2018-04-20,Jaipur,1639
2018-04-21,Jaipur,1422
2018-04-22,Jaipur,1821
2018-04-23,Jaipur,1526
2018-04-24,Jaipur,1621
2018-04-25,Jaipur,1123
2018-04-26,Jaipur,1395
2018-04-27,Jaipur,1624
2018-04-28,Jaipur,1853
2018-04-29,Jaipur,1792
2018-04-30,Jaipur,1639
2018-05-01,Jaipur,1451
2018-05-02,Jaipur,1376
2018-05-03,Jaipur,1443
2018-05-04,Jaipur,1291
2018-05-05,Jaipur,1885
2018-05-06,Jaipur,1719
2018-05-07,Jaipur,1332
2018-05-08,Jaipur,1656
2018-05-09,Jaipur,1614
2018-05-10,Jaipur,1548
2018-05-11,Jaipur,1440
2018-05-12,Jaipur,1921
2018-05-13,Jaipur,1365
2018-05-14,Jaipur,1440
2018-05-15,Jaipur,1489
2018-05-16,Jaipur,1552
2018-05-17,Jaipur,1573
2018-05-18,Jaipur,1538
2018-05-19,Jaipur,1662
2018-05-20,Jaipur,1922
2018-05-21,Jaipur,2082
2018-05-22,Jaipur,1670
2018-05-23,Jaipur,1415
2018-05-24,Jaipur,1382
2018-05-25,Jaipur,1283
2018-05-26,Jaipur,1869
2018-05-27,Jaipur,1568
2018-05-28,Jaipur,1167
2018-05-29,Jaipur,2033
2018-05-30,Jaipur,1628
2018-05-31,Jaipur,1601
2018-06-01,Jaipur,1335
2018-06-02,Jaipur,1613
2018-06-03,Jaipur,1998
2018-06-04,Jaipur,1238
2018-06-05,Jaipur,1816
2018-06-06,Jaipur,1704
2018-06-07,Jaipur,1252
2018-06-08,Jaipur,1437
2018-06-09,Jaipur,1726
2018-06-10,Jaipur,2177
2018-06-11,Jaipur,1069
2018-06-12,Jaipur,1272
2018-06-13,Jaipur,1620
2018-06-14,Jaipur,2076
2018-06-15,Jaipur,1428
2018-06-16,Jaipur,1728
2018-06-17,Jaipur,1709
2018-06-18,Jaipur,1477
2018-06-19,Jaipur,1888
2018-06-20,Jaipur,1448
2018-06-21,Jaipur,1807
2018-06-22,Jaipur,1363
2018-06-23,Jaipur,1658
2018-06-24,Jaipur,2120
2018-06-25,Jaipur,1115
2018-06-26,Jaipur,1765
2018-06-27,Jaipur,1593
2018-06-28,Jaipur,1323
2018-06-29,Jaipur,1446
2018-06-30,Jaipur,1983
2018-07-01,Jaipur,2706
2018-07-02,Jaipur,2628
2018-07-03,Jaipur,2587
2018-07-04,Jaipur,2343
2018-07-05,Jaipur,2971
2018-07-06,Jaipur,2934
2018-07-07,Jaipur,3149
2018-07-08,Jaipur,3287
2018-07-09,Jaipur,3171
2018-07-10,Jaipur,4971
2018-07-11,Jaipur,5427
2018-07-12,Jaipur,4419
2018-07-13,Jaipur,4364
2018-07-14,Jaipur,6348
2018-07-15,Jaipur,5877
2018-07-16,Jaipur,4540
2018-07-17,Jaipur,5212
2018-07-18,Jaipur,2451
2018-07-19,Jaipur,3098
2018-07-20,Jaipur,2397
2018-07-21,Jaipur,3331
2018-07-22,Jaipur,3706
2018-07-23,Jaipur,3260
2018-07-24,Jaipur,2755
2018-07-25,Jaipur,3159
2018-07-26,Jaipur,2630
2018-07-27,Jaipur,2555
2018-07-28,Jaipur,3436
2018-07-29,Jaipur,3240
2018-07-30,Jaipur,2875
2018-07-31,Jaipur,2503
2018-08-01,Jaipur,2763
2018-08-02,Jaipur,2665
2018-08-03,Jaipur,3470
2018-08-04,Jaipur,3342
2018-08-05,Jaipur,3011
2018-08-06,Jaipur,2896
2018-08-07,Jaipur,2425
2018-08-08,Jaipur,2555
2018-08-09,Jaipur,2724
2018-08-10,Jaipur,5617
2018-08-11,Jaipur,5497
2018-08-12,Jaipur,5231
2018-08-13,Jaipur,4719
2018-08-14,Jaipur,4631
2018-08-15,Jaipur,4505
2018-08-16,Jaipur,4576
2018-08-17,Jaipur,5424
2018-08-18,Jaipur,3211
2018-08-19,Jaipur,3796
2018-08-20,Jaipur,3127
2018-08-21,Jaipur,3200
2018-08-22,Jaipur,3003
2018-08-23,Jaipur,3136
2018-08-24,Jaipur,3138
2018-08-25,Jaipur,3192
2018-08-26,Jaipur,3854
2018-08-27,Jaipur,2554
2018-08-28,Jaipur,2853
2018-08-29,Jaipur,3195
2018-08-30,Jaipur,3063
2018-08-31,Jaipur,3001
2018-09-01,Jaipur,2652
2018-09-02,Jaipur,3505
2018-09-03,Jaipur,3075
2018-09-04,Jaipur,2741
2018-09-05,Jaipur,3004
2018-09-06,Jaipur,2849
2018-09-07,Jaipur,2496
2018-09-08,Jaipur,3109
2018-09-09,Jaipur,3152
2018-09-10,Jaipur,2760
2018-09-11,Jaipur,3188
2018-09-12,Jaipur,2739
2018-09-13,Jaipur,3251
2018-09-14,Jaipur,3014
2018-09-15,Jaipur,3005
2018-09-16,Jaipur,3276
2018-09-17,Jaipur,2748
2018-09-18,Jaipur,3001
2018-09-19,Jaipur,2789
2018-09-20,Jaipur,2800
2018-09-21,Jaipur,2543
2018-09-22,Jaipur,3713
