feature,importance
footfall_rolling_7,0.2241879
is_festival,0.17580809
footfall_lag_1,0.17454179
month_cos,0.080453314
season_Summer,0.076094545
footfall_lag_7,0.06312778
season_Winter,0.05023908
is_weekend,0.025795419
footfall_rolling_30,0.023880232
day_of_week,0.018683815
month,0.016315933
day,0.013686949
city_encoded,0.013060655
dow_sin,0.007308448
dow_cos,0.0042731776
season_Monsoon,0.003957335
month_sin,0.0033521354
footfall_lag_30,0.0029886581
humidity,0.0027516442
year,0.0024643918
temp_max,0.0023075836
temp_min,0.002300555
temp_avg,0.002222842
temp_range,0.001919979
pressure,0.0018191683
weather_Rain,0.0017327172
wind_speed,0.0016752338
weather_Clear,0.0016134197
weather_Clouds,0.0014371852
